name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency
Data Engineer,dentsu Polska,SQL,data_engineer,Warsaw,POL,13000,16000,PLN
Remote Data Engineer,Mindbox S.A.,N/A,data_engineer,Zdalna,N/A,23100,30450,PLN
Data Engineer,Avanade Poland,SQL,data_engineer,Warszawa,POL,15000,25000,PLN
Data Engineer (Microsoft),Onwelo S.A.,N/A,data_engineer,Zdalna,N/A,13650,17850,PLN
Data Engineer,Phorest,looker,data_engineer,Zdalna,N/A,16773,23962,PLN
Data Engineer,Ringier Axel Springer Tech,python,data_engineer,Zdalna,N/A,10100,16900,PLN
Scala Big Data Engineer,VirtusLab,spark,data_engineer,Zdalna,N/A,15000,22000,PLN
Software Engineer (Scala) | Big Data,Adform Sp. z o.o.,scala,data_engineer,Zdalna,N/A,18000,21000,PLN
Data Engineer- Junior,AVENGA,python,data_engineer,Zdalna,N/A,13440,16800,PLN
Remote Data Engineer,Codahead,java,data_engineer,Zdalna,N/A,13440,22008,PLN
Data Engineer Junior,AVENGA,python,data_engineer,Zdalna,N/A,13440,16800,PLN
Senior Data Engineer,DATAPAO Kft.,python,data_engineer,Zdalna,N/A,13827,22626,PLN
Junior Data Engineer,DATAPAO Kft.,python,data_engineer,Budapest,HUN,7542,9427,PLN
Senior Data Engineer,Hearsay,python,data_engineer,Budapest,HUN,12570,20112,PLN
Data Engineer,IncepTech Kft.,N/A,data_engineer,Budapest,HUN,11313,22626,PLN
Data Engineer,Manuvia Expert Recruitment,N/A,data_engineer,Budapest,HUN,10056,16341,PLN
Data Engineer,Devire,N/A,data_engineer,Zdalna,N/A,16000,20000,PLN
Data Engineer-Senior,AVENGA,python,data_engineer,Zdalna,N/A,18480,20160,PLN
Data Engineer-Pofessional,AVENGA,python,data_engineer,Zdalna,N/A,20160,21840,PLN
Data Engineer-Pofessional,AVENGA,python,data_engineer,Zdalna,N/A,15960,16968,PLN
Data Engineer-Pofessional,AVENGA,python,data_engineer,Zdalna,N/A,13440,16800,PLN
