name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency
Data Scientist,Altimetrik Poland,AWS,data_scientist,Zdalna,N/A,18000,22000,PLN
Data Scientist,GetInData,python,data_scientist,Zdalna,N/A,20160,30240,PLN
Senior Data Scientist,IIIT,python,data_scientist,Zdalna,N/A,20000,28000,PLN
Junior Data Scientist,Cenatorium,python,data_scientist,Warszawa,POL,4500,6500,PLN
Data Scientist,Grupa Invicta,N/A,data_scientist,Sopot,POL,7000,12500,PLN
Data Scientist,Manuvia Expert Recruitment,N/A,data_scientist,Budapest,HUN,10684,13827,PLN
Data Scientist (Mid/Senior),Onwelo S.A.,N/A,data_scientist,Zdalna,N/A,13650,17850,PLN
Lead Data Scientist,Adform Sp. z o.o.,hadoop,data_scientist,Warsaw,POL,22000,30000,PLN
Remote Senior Data Scientist,Silent Eight,python,data_scientist,Zdalna,N/A,21000,25500,PLN
Data scientist,SKYBLU,N/A,data_scientist,Zdalna,N/A,10080,20160,PLN
Senior Data Scientist,InData Labs,data science,data_scientist,Zdalna,N/A,19169,28754,PLN
Data Scientist / ML Engineer,SpyroSoft,N/A,data_scientist,Wroclaw,POL,18480,21840,PLN
Expert Data Scientist,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,N/A,data_scientist,Zdalna,N/A,10000,16000,PLN
Senior Data Scientist,Moneyflow,python,data_scientist,Zdalna,N/A,14377,19169,PLN
Remote Data Scientist,AVENGA,python,data_scientist,Zdalna,N/A,15120,24360,PLN
Remote Data Science Engineer,apreel Sp. z o.o.,python,data_scientist,Zdalna,N/A,20160,28560,PLN
Senior Data Scientist,Ework Group,spark,data_scientist,Zdalna,N/A,18000,25000,PLN
Data Scientist,Pixel Technology Sp. z o.o.,python,data_scientist,Łódź,POL,8000,16000,PLN
Senior Data Scientist / Team Lead,Link Group,N/A,data_scientist,Warsaw,POL,17000,19000,PLN
Data Scientist,ReSpo.Vision,python,data_scientist,Warszawa,POL,13000,20000,PLN
Junior Data Scientist,EMPIK S. A.,python,data_scientist,Warszawa,POL,4000,8000,PLN
Data Scientist,Orange Polska,python,data_scientist,Warszawa,POL,9000,18000,PLN
Remote Data Scientist,Addepto,python,data_scientist,Zdalna,N/A,16800,23520,PLN
Remote Data Scientist,Divante S.A.,python,data_scientist,Zdalna,N/A,13272,18648,PLN
Senior Data Scientist NLP,BlackSwan Technologies,python,data_scientist,Zdalna,N/A,16000,26000,PLN
Senior Data Scientist,Link Group,python,data_scientist,Zdalna,N/A,30240,33600,PLN
