name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency
Fullstack Developer (React & Python),Semantive,react,python_developer,Zdalna,N/A,9000,14000,PLN
Python Developer z biologią / chemią,Code Poets sp. z o.o.,python,python_developer,Zdalna,N/A,11760,20160,PLN
Senior Python Developer (Remote/Hybrid),Tango,python,python_developer,Zdalna,N/A,17000,26000,PLN
AI/ML Python Developer,AVENGA,python,python_developer,Zdalna,N/A,20160,29400,PLN
Senio/Mid Python Developer,Devire Sp. z o.o.,python,python_developer,Zdalna,N/A,17000,21000,PLN
Python Developer,SmartWays Sp z o.o.,python,python_developer,Zdalna,N/A,17000,28000,PLN
Python Developer,Amsterdam Standard Sp. z o.o.,python,python_developer,Zdalna,N/A,10000,18000,PLN
Mid Python Developer with AWS,Codete,python,python_developer,Zdalna,N/A,16000,23000,PLN
Fullstack Python Developer,Collabera Poland Sp. z o.o.,python,python_developer,Zdalna,N/A,25200,31080,PLN
Mid/ Senior Python Developer,Vewd Software Poland Sp. z o.o.,python,python_developer,Zdalna,N/A,16000,21000,PLN
Senior Python Developer,Merixstudio,python,python_developer,Zdalna,N/A,15500,22000,PLN
Python (pySpark) Developer,Link Group,python,python_developer,Zdalna,N/A,20160,25200,PLN
Python Developer with Azure,AVENGA,python,python_developer,Zdalna,N/A,19320,21840,PLN
Python Developer,Webinterpret,python,python_developer,Zdalna,N/A,15000,21000,PLN
Fullstack Python Developer,Ework Group,python,python_developer,Zdalna,N/A,25200,30240,PLN
Python Developer,SpotOn,python,python_developer,Zdalna,N/A,14000,19000,PLN
Senior Python Developer,Sky and Space Co,python,python_developer,Zdalna,N/A,20000,27000,PLN
Python Developer-Senior,AVENGA,python,python_developer,Zdalna,N/A,20160,21840,PLN
Python Developer at eco impact startup,Planbe Eco,python,python_developer,Zdalna,N/A,12000,18000,PLN
Python Developer,Amartus Polska Sp. z o.o.,python,python_developer,Kraków,POL,9000,15000,PLN
Junior Python Developer,IDEA team within Narodowe Centrum Badań Jądrowych,python,python_developer,Warszawa,POL,7000,10000,PLN
Python Developer,Contina Sp. z o.o.,python,python_developer,Zdalna,N/A,7000,12000,PLN
Remote Python Developer,Remedy,python,python_developer,Zdalna,N/A,10923,17477,PLN
Senior Big Data Developer with Python,Devire Sp. z o.o.,python,python_developer,Zdalna,N/A,26880,31920,PLN
Senior Python Developer,SpotOn,python,python_developer,Zdalna,N/A,20000,28000,PLN
Junior Fullstack Python Developer,DahliaMatic Sp. z o.o.,python,python_developer,Zdalna,N/A,16000,23000,PLN
Python Developer,Toro Performance,python,python_developer,Zdalna,N/A,11000,22000,PLN
Senior Python Developer,Enzode,python,python_developer,Warszawa,POL,15000,22000,PLN
Junior Python Developer (Szczecin),umlaut Sp. z o.o.,python,python_developer,Szczecin,POL,5500,9000,PLN
Python Developer,DEVnet High Performance Solutions Sp. z o.o.,python,python_developer,Wrocław,POL,12300,19500,PLN
"Senior Python Developer I AWS, FinTech",JCommerce Sp z o o,python,python_developer,Zdalna,N/A,22680,25200,PLN
Junior Python Developer,Sense Street,python,python_developer,Zdalna,N/A,10000,13000,PLN
Junior Python Developer,Boring Owl Sp. z o.o.,python,python_developer,Zdalna,N/A,5000,7000,PLN
Remote Junior Python Developer,DTiQ,python,python_developer,Zdalna,N/A,5000,8000,PLN
Python Developer,Docmatic sp. z o.o.,python,python_developer,Kraków,POL,6000,10000,PLN
PHP/Python Developer,OPGK S.A.,php,python_developer,Rzeszów,POL,4000,6000,PLN
Junior C++/Python  Developer (R&D),EXATEL S.A.,c++,python_developer,Zdalna,N/A,5000,8000,PLN
Junior Python Developer,Grupa ZPR Media,sql,python_developer,Warszawa,POL,10000,10000,PLN
Market Risk Python/Java Developer,IDBC Creative Solutions Kft.,java,python_developer,Budapest,HUN,8799,13827,PLN
Python Backend Developer,SEON Technologies Kft.,python,python_developer,Budapest,HUN,12570,18855,PLN
Python Developer,Mobile Vikings,python,python_developer,Wrocław,POL,13000,18000,PLN
Python Developer,Chargify,python,python_developer,Zdalna,N/A,17000,28000,PLN
Junior Python (AI) Developer,VlogIT,python,python_developer,Warszawa,POL,8000,13000,PLN
Python Developer,EPAM,python,python_developer,Zdalna,N/A,9000,14000,PLN
Middle/Senior Python Developer (Django),Spyrosoft,python,python_developer,Warszawa,POL,11760,23520,PLN
Remote Python Django Developer,Camino Science Sp. z o. o.,python,python_developer,Zdalna,N/A,14000,21000,PLN
Mid Python Django Developer,Phoenix Project,python,python_developer,Zdalna,N/A,8000,13000,PLN
Remote Python Big Data Developer,Exadel,python,python_developer,Zdalna,N/A,20000,24000,PLN
Python Senior Developer- Remote/Wroclaw,Sofomo,python,python_developer,Zdalna,N/A,12000,20000,PLN
Junior Fullstack Python Developer,People Trust Sp. z o.o.,python,python_developer,Zdalna,N/A,16800,30240,PLN
Python Test Developer,Solwit,python,python_developer,Zdalna,N/A,8000,14000,PLN
Remote Python Developer,Fudo Security EMEA,python,python_developer,Zdalna,N/A,12000,16000,PLN
Mid Python Backend Developer,Amano,python,python_developer,Warszawa,POL,12000,16000,PLN
Fullstack Python Developer,Grape Up,python,python_developer,Zdalna,N/A,16600,22600,PLN
Fullstack Python Developer,DahliaMatic Sp. z o.o.,python,python_developer,Warszawa,POL,19000,38000,PLN
Python Developer,Devire,python,python_developer,Zdalna,N/A,20160,22680,PLN
Junior Python / Odoo Developer,Green Minds Sp.z o.o.,python,python_developer,Zdalna,N/A,13440,15120,PLN
Junior Fullstack Python Developer,Multiwash | CarWash App,python,python_developer,Warszawa,POL,6000,12000,PLN
Remote Python Developer,SoftServe,python,python_developer,Zdalna,N/A,12000,22000,PLN
Fullstack Developer (Python/Angular 8+),Solwit SA,python,python_developer,Zdalna,N/A,16000,22000,PLN
Python Developer,Deskset Software Sp. z o.o.,python,python_developer,Zdalna,N/A,14000,25000,PLN
Junior Python Django Developer,Phoenix Project,python,python_developer,Zdalna,N/A,6000,10000,PLN
Python Developer,360 Code Lab Sp. z o.o.,python,python_developer,Zdalna,N/A,19000,22000,PLN
Senior Python Developer,Sigma IT Polska,python,python_developer,Zdalna,N/A,15000,25000,PLN
Remote Python Developer,Silent Eight,python,python_developer,Zdalna,N/A,14000,23000,PLN
Remote Senior Python Developer,Silent Eight,python,python_developer,Zdalna,N/A,23000,28000,PLN
Junior Python Developer,Codibly,python,python_developer,Zdalna,N/A,6500,11500,PLN
Remote Python Developer,SoftKraft,python,python_developer,Zdalna,N/A,14000,16000,PLN
Python Developer,Packhelp,python,python_developer,Warszawa,POL,13000,18000,PLN
Backend Python Developer,Operibus Sp. z o.o.,python,python_developer,Wrocław,POL,14000,18000,PLN
Python Developer,ALM Services Technology Group,python,python_developer,Zdalna,N/A,15000,25000,PLN
Python Developer,10Clouds,python,python_developer,Zdalna,N/A,6500,10000,PLN
Python Developer,Synapsi.xyz,python,python_developer,Zdalna,N/A,8000,16000,PLN
Senior Python Developer / Team Lead,Codibly,python,python_developer,Kraków,POL,18000,25000,PLN
Lead Python Developer,EPAM,python,python_developer,Zdalna,N/A,14000,21000,PLN
Senior Python Developer,EPAM,python,python_developer,Zdalna,N/A,12000,18000,PLN
Regular Python Developer (Gaming),Sunscrapers,python,python_developer,Zdalna,N/A,16000,22000,PLN
Python Developer - junior,Sport Algorithmics and Gaming (SAG),python,python_developer,Warsaw,POL,6000,12000,PLN
Python/C++ Developer,CloudBest,python,python_developer,Zdalna,N/A,20000,25000,PLN
(Junior) Python Developer,InsERT S.A.,python,python_developer,Wrocław,POL,9000,13000,PLN
Remote Python Developer,Roche,python,python_developer,Zdalna,N/A,15000,20000,PLN
Python Developer,User.com,python,python_developer,Zdalna,N/A,10000,17000,PLN
Python Developer,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,python,python_developer,Zdalna,N/A,9000,14000,PLN
Fullstack Python Developer,Ulam Labs,python,python_developer,Wrocław,POL,16000,23000,PLN
Junior Python Developer,Link Group,python,python_developer,Warszawa,POL,7000,10000,PLN
Python Data Developer,Onwelo S.A.,python,python_developer,Zdalna,N/A,14700,25200,PLN
Senior Python Developer,Harvey Nash Technology,python,python_developer,Warszawa,POL,21000,25000,PLN
Senior Python Developer (remote/hybrid),Dealavo,python,python_developer,Zdalna,N/A,16000,25000,PLN
Python Developer,RTB House,python,python_developer,Zdalna,N/A,25000,35000,PLN
Python Developer,Volvo Group,python,python_developer,Zdalna,N/A,10000,16000,PLN
Junior Python Developer,Integree sp. z o.o.,python,python_developer,Zdalna,N/A,4000,8000,PLN
Remote Python Developer,Montrose Software,python,python_developer,Zdalna,N/A,9000,18000,PLN
Remote Python Backend Developer,umlaut Sp. z o.o.,python,python_developer,Zdalna,N/A,9340,15518,PLN
Fullstack Python Developer,Collabera Poland Sp. z o.o.,python,python_developer,Zdalna,N/A,25200,30240,PLN
Mid Python Developer (future Fullstack),CIC Poland Sp. z o.o.,python,python_developer,Warsaw,POL,16000,19000,PLN
Python Developer,DO OK,python,python_developer,Zdalna,N/A,8400,16000,PLN
Python Developer with Blockchain,Code Poets,python,python_developer,Zdalna,N/A,15120,20160,PLN
Senior Python Developer,7bulls.com sp. z o.o.,python,python_developer,Zdalna,N/A,23520,28560,PLN
Fullstack Python Developer,Deskset Software Sp. z o.o.,python,python_developer,Zdalna,N/A,12000,19000,PLN
Python Developer,Link Group,python,python_developer,Zdalna,N/A,17000,27000,PLN
