,name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency,salary.avg,is_senior
0,data engineer,dentsu Polska,SQL,data_engineer,warsaw,POL,13000,16000,PLN,14500.0,False
1,remote data engineer,Mindbox S.A.,,data_engineer,zdalna,,23100,30450,PLN,26775.0,False
2,data engineer,Avanade Poland,SQL,data_engineer,warszawa,POL,15000,25000,PLN,20000.0,False
3,data engineer (microsoft),Onwelo S.A.,,data_engineer,zdalna,,13650,17850,PLN,15750.0,False
4,data engineer,Phorest,looker,data_engineer,zdalna,,16773,23962,PLN,20367.5,False
5,data engineer,Ringier Axel Springer Tech,python,data_engineer,zdalna,,10100,16900,PLN,13500.0,False
6,scala big data engineer,VirtusLab,spark,data_engineer,zdalna,,15000,22000,PLN,18500.0,False
7,software engineer (scala) | big data,Adform Sp. z o.o.,scala,data_engineer,zdalna,,18000,21000,PLN,19500.0,False
8,data engineer- junior,AVENGA,python,data_engineer,zdalna,,13440,16800,PLN,15120.0,False
9,remote data engineer,Codahead,java,data_engineer,zdalna,,13440,22008,PLN,17724.0,False
10,data engineer junior,AVENGA,python,data_engineer,zdalna,,13440,16800,PLN,15120.0,False
11,senior data engineer,DATAPAO Kft.,python,data_engineer,zdalna,,13827,22626,PLN,18226.5,True
12,junior data engineer,DATAPAO Kft.,python,data_engineer,budapest,HUN,7542,9427,PLN,8484.5,False
13,senior data engineer,Hearsay,python,data_engineer,budapest,HUN,12570,20112,PLN,16341.0,True
14,data engineer,IncepTech Kft.,,data_engineer,budapest,HUN,11313,22626,PLN,16969.5,False
15,data engineer,Manuvia Expert Recruitment,,data_engineer,budapest,HUN,10056,16341,PLN,13198.5,False
16,data engineer,Devire,,data_engineer,zdalna,,16000,20000,PLN,18000.0,False
17,data engineer-senior,AVENGA,python,data_engineer,zdalna,,18480,20160,PLN,19320.0,True
18,data engineer-pofessional,AVENGA,python,data_engineer,zdalna,,20160,21840,PLN,21000.0,False
